Participante Equipo Local Gana Local Empata Gana Visitante Equipo Visitante
Simon,España, X ,    ,   ,Alemania
Simon,Italia, X,    ,      ,Francia
Simon,España,   ,X ,   ,Italia
Simon,Francia,   ,    , X  ,España 
Simon,Alemania,    , X   , italia
Simon,Francia, X ,   ,   , Alemania 
Federico,España,   ,  X  ,   ,Alemania
Federico,Italia,    ,    , X ,Francia
Federico,,España,    ,X ,     ,Italia
Federico,,Francia,   ,  X  ,   ,España 
Federico,Alemania,    ,    , X , italia
Federico,Francia,   ,   , X , Alemania 
,
